STT,Trang thu thập,Tên công ty,Vị trí ứng tuyển,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Địa điểm,Ngày đăng tuyển,Lương tối thiểu,Lương tối đa,Lương TB,Tên công việc
328,CareerLink,TẬP ĐOÀN KAROFI HOLDING,Nhân viên,Cử nhân,1,hà nội,2024-12-20,10000000.0,18000000.0,14000000.0,công nghệ thông tin
329,CareerLink,BSS Group,Nhân viên,Cử nhân,2,hà nội,2024-12-20,20000000.0,30000000.0,25000000.0,ceo assistant
333,CareerLink,CÔNG TY CỔ PHẦN NOSAFOOD,Nhân viên,Cử nhân,2,long an,2024-12-24,10000000.0,15000000.0,0.0,chuyên viên hỗ trợ kỹ thuật
336,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ CYBER EYE,Nhân viên,Cử nhân,2,hà nội,2024-12-19,15000000.0,25000000.0,20000000.0,kỹ sư kiểm thử phần mềm
338,CareerLink,CÔNG TY CP BIA & NGK HẠ LONG,Nhân viên,Cử nhân,1,hà nội,2024-12-21,12000000.0,16000000.0,14000000.0,nhà thiết kế
339,CareerLink,Công Ty Cổ Phần Anvy,Nhân viên,Cử nhân,2,hưng yên,2024-12-25,12000000.0,18000000.0,15000000.0,chuyên viên hỗ trợ kỹ thuật
341,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,Nhân viên,Cử nhân,1,hải phòng,2024-12-18,8000000.0,12000000.0,10000000.0,giảng viên
343,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,Nhân viên,Cử nhân,1,hải phòng,2024-12-18,8000000.0,12000000.0,10000000.0,giảng viên
345,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,Sinh viên / Thực tập sinh,Cử nhân,0,hà nội,2024-12-24,2000000.0,5000000.0,3500000.0,kỹ sư phần mềm
353,CareerLink,Công Ty TNHH Luxstay Việt Nam,Nhân viên,Cử nhân,0,hà nội,2024-12-18,12000000.0,26000000.0,19000000.0,kỹ sư phần mềm
357,CareerLink,Công Ty TNHH Nippo Mechatronics Vietnam,Nhân viên,Cử nhân,2,hà nội,2024-12-23,13000000.0,30000000.0,,chuyên viên hỗ trợ kỹ thuật
364,CareerLink,Công Ty TNHH Nippo Mechatronics Vietnam,Nhân viên,Cử nhân,2,hà nội,2024-12-18,13000000.0,30000000.0,,chuyên viên hỗ trợ kỹ thuật
368,CareerLink,VIỆN THẨM MỸ MEDIC SKIN,Nhân viên,Cử nhân,0,hà nội,2024-12-17,14000000.0,18000000.0,16000000.0,nhà phân tích dữ liệu
374,CareerLink,CÔNG TY CỔ PHẦN 88 GROUP (LAPTOP88),Nhân viên,Trung cấp,0,hà nội,2024-12-22,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
375,CareerLink,CÔNG TY CỔ PHẦN 88 GROUP (LAPTOP88),Nhân viên,Trung cấp,0,hà nội,2024-12-17,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
376,CareerLink,BSS Group,Mới đi làm,Cử nhân,1,hà nội,2024-12-17,8000000.0,14000000.0,11000000.0,customer support executive
377,CareerLink,CÔNG TY CỔ PHẦN 88 GROUP (LAPTOP88),Nhân viên,Trung cấp,0,hà nội,2024-12-17,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
381,CareerLink,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN MÁY VIỆT NAM,Nhân viên,Cử nhân,2,hà nội,2024-12-16,25000000.0,38000000.0,31500000.0,kỹ sư phần mềm
385,CareerLink,Công Ty CP Thương mại và Chuyển Phát Nhanh Nội Bài,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-22,25000000.0,35000000.0,30000000.0,kỹ sư phần mềm
387,CareerLink,Bến Tre Riverside Resort,Nhân viên,Trung cấp,1,bến tre,2024-12-24,10000000.0,15000000.0,0.0,công nghệ thông tin
388,CareerLink,Bến Tre Riverside Resort,Nhân viên,Trung cấp,1,bến tre,2024-12-19,10000000.0,15000000.0,0.0,chuyên viên hỗ trợ kỹ thuật
393,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,Nhân viên,Cử nhân,0,hải phòng,2024-12-16,8000000.0,12000000.0,10000000.0,kỹ sư phần mềm
396,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-12,25000000.0,30000000.0,,kỹ sư phần mềm
398,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-12,20000000.0,25000000.0,22500000.0,kỹ sư phần mềm
399,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,1,hà nội,2024-12-13,12000000.0,18000000.0,,nhà thiết kế
400,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-18,22000000.0,30000000.0,,kỹ sư phần mềm
401,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ CYBER EYE,Nhân viên,Cử nhân,2,hà nội,2024-12-12,15000000.0,20000000.0,17500000.0,kỹ sư kiểm thử phần mềm
402,CareerLink,CÔNG TY CỔ PHẦN TỔNG CÔNG TY NOVA SERVICE,Quản lý / Trưởng phòng,Cử nhân,2,bà rịa - vũng tàu,2024-12-26,10000000.0,15000000.0,0.0,công nghệ thông tin
407,CareerLink,Công Ty TNHH Luxstay Việt Nam,Nhân viên,Cử nhân,2,hà nội,2024-12-12,12000000.0,20000000.0,16000000.0,kỹ sư kiểm thử phần mềm
409,CareerLink,Công Ty TNHH Luxstay Việt Nam,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hồ chí minh,2024-12-24,20000000.0,36000000.0,28000000.0,kỹ sư phần mềm
411,CareerLink,Công Ty TNHH Luxstay Việt Nam,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-16,20000000.0,36000000.0,28000000.0,kỹ sư phần mềm
412,CareerLink,Công Ty Cổ Phần Tập Đoàn Đầu Tư KLB,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-16,12000000.0,15000000.0,13500000.0,kỹ sư hệ thống
413,CareerLink,CÔNG TY TNHH KANACARE VIỆT NAM,Mới đi làm,Cử nhân,0,hồ chí minh,2024-12-24,3000000.0,5000000.0,4000000.0,công nghệ thông tin
414,CareerLink,Công Ty TNHH Luxstay Việt Nam,Nhân viên,Cử nhân,2,hà nội,2024-12-16,20000000.0,35000000.0,27500000.0,kỹ sư phần mềm
415,CareerLink,Công Ty TNHH Luxstay Việt Nam,Nhân viên,Cử nhân,2,hà nội,2024-12-11,18000000.0,35000000.0,26500000.0,performance tester
416,CareerLink,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,Nhân viên,Trung học,0,hồ chí minh,2024-12-19,6000000.0,8000000.0,7000000.0,chuyên viên hỗ trợ kỹ thuật
417,CareerLink,Công Ty TNHH Luxstay Việt Nam,Nhân viên,Cử nhân,1,hà nội,2024-12-11,20000000.0,35000000.0,27500000.0,kỹ sư phần mềm
419,CareerLink,Công Ty TNHH Luxstay Việt Nam,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-11,20000000.0,35000000.0,27500000.0,kỹ sư phần mềm
421,CareerLink,CÔNG TY CỔ PHẦN SỞ GIAO DỊCH HÀNG HÓA VIỆT NAM TOÀN CẦU,Nhân viên,Cử nhân,2,hà nội,2024-12-11,22000000.0,32000000.0,27000000.0,kỹ sư phần mềm
427,CareerLink,N-TEK DISTRIBUTION TECHNOLOGY COMPANY LIMITED,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-20,10000000.0,20000000.0,15000000.0,chuyên viên hỗ trợ kỹ thuật
429,CareerLink,N-TEK DISTRIBUTION TECHNOLOGY COMPANY LIMITED,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-11,10000000.0,20000000.0,15000000.0,chuyên viên hỗ trợ kỹ thuật
431,CareerLink,TẬP ĐOÀN MẮT KÍNH AR GROUP,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-23,15000000.0,20000000.0,0.0,chuyên viên hỗ trợ kỹ thuật
432,CareerLink,FPT Education Hồ Chí Minh,Nhân viên,thạc sĩ,2,hồ chí minh,2024-12-11,10000000.0,15000000.0,0.0,giảng viên
433,CareerLink,CÔNG TY TNHH VAREAL VIỆT NAM,Trưởng nhóm / Giám sát,Cử nhân,2,hà nội,2024-12-10,10000000.0,15000000.0,0.0,ruby on rails team leader
434,CareerLink,CÔNG TY CỔ PHẦN TRƯỜNG HỌC CÔNG NGHỆ MINDX,Trưởng nhóm / Giám sát,Cử nhân,2,hồ chí minh,2024-12-10,18000000.0,25000000.0,21500000.0,r&d k12 coding & robotics team leader
435,CareerLink,CÔNG TY TNHH VAREAL VIỆT NAM,Nhân viên,Cử nhân,0,hà nội,2024-12-17,11000000.0,16500000.0,0.0,kỹ sư phần mềm
437,CareerLink,CÔNG TY TNHH VAREAL VIỆT NAM,Nhân viên,Cử nhân,1,hà nội,2024-12-24,11000000.0,18000000.0,0.0,kỹ sư phần mềm
439,CareerLink,CÔNG TY TNHH VAREAL VIỆT NAM,Nhân viên,Cử nhân,2,hà nội,2024-12-24,15000000.0,20000000.0,17500000.0,executive assistant
440,CareerLink,TRƯỜNG TIỂU HỌC TRUNG HỌC CƠ SỞ VÀ TRUNG HỌC PHỔ THÔNG HỒNG ĐỨC,Nhân viên,Cử nhân,1,hưng yên,2024-12-10,10000000.0,12000000.0,11000000.0,giảng viên
442,CareerLink,TRƯỜNG TIỂU HỌC TRUNG HỌC CƠ SỞ VÀ TRUNG HỌC PHỔ THÔNG HỒNG ĐỨC,Nhân viên,Cử nhân,1,hưng yên,2024-12-10,10000000.0,12000000.0,11000000.0,giảng viên
444,CareerLink,TRƯỜNG TIỂU HỌC TRUNG HỌC CƠ SỞ VÀ TRUNG HỌC PHỔ THÔNG HỒNG ĐỨC,Nhân viên,Cử nhân,1,hưng yên,2024-12-10,10000000.0,12000000.0,11000000.0,giảng viên
449,CareerLink,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS,Sinh viên / Thực tập sinh,Cử nhân,0,hải phòng,2024-12-09,3000000.0,7000000.0,5000000.0,công nghệ thông tin
453,CareerLink,Beetechsoft,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,10000000.0,40000000.0,25000000.0,kỹ sư phần mềm
455,CareerLink,Công ty TNHH Avada Group (Mageplaza),Nhân viên,Cử nhân,1,hà nội,2024-12-06,10000000.0,20000000.0,15000000.0,nhà thiết kế
456,CareerLink,Beetechsoft,Nhân viên,Cử nhân,2,hà nội,2024-12-06,15000000.0,30000000.0,22500000.0,kỹ sư kiểm thử phần mềm
458,CareerLink,Beetechsoft,Nhân viên,Cử nhân,2,đà nẵng,2024-12-23,10000000.0,40000000.0,25000000.0,kỹ sư phần mềm
463,CareerLink,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN MÁY VIỆT NAM,Nhân viên,Cử nhân,2,hà nội,2024-12-05,15000000.0,22000000.0,18500000.0,nhân viên phân tích nghiệp vụ ba
464,CareerLink,BSS Group,Nhân viên,Cử nhân,0,hà nội,2024-12-18,7000000.0,14000000.0,10500000.0,fresher tester
468,CareerLink,Công Ty TNHH Truyền thông Và Quảng Cáo Siêu Kinh Doanh,Nhân viên,Trung cấp,0,hồ chí minh,2024-12-09,7000000.0,15000000.0,11000000.0,chuyên viên tư vấn cntt
469,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-10,22000000.0,30000000.0,,kỹ sư phần mềm
471,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-23,22000000.0,35500000.0,,kỹ sư phần mềm
473,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Quản lý / Trưởng phòng,Cử nhân,2,hà nội,2024-12-25,22000000.0,15000000.0,,nhà phân tích dữ liệu
475,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-05,25000000.0,30000000.0,,kỹ sư phần mềm
476,CareerLink,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,Nhân viên,Trung học,0,bình dương,2024-12-11,6000000.0,8000000.0,7000000.0,chuyên viên hỗ trợ kỹ thuật
480,CareerLink,TRƯỜNG TIỂU HỌC TRUNG HỌC CƠ SỞ VÀ TRUNG HỌC PHỔ THÔNG HỒNG ĐỨC,Nhân viên,Cử nhân,1,hưng yên,2024-12-04,10000000.0,12000000.0,11000000.0,giảng viên
483,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-05,22000000.0,30000000.0,,kỹ sư phần mềm
489,CareerLink,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,Nhân viên,Trung học,0,đồng nai,2024-12-06,6000000.0,8000000.0,7000000.0,chuyên viên hỗ trợ kỹ thuật
491,CareerLink,FPT Education Hồ Chí Minh,Nhân viên,thạc sĩ,2,hồ chí minh,2024-12-09,10000000.0,15000000.0,0.0,giảng viên
492,CareerLink,Công Ty Cổ Phần Anvy,Nhân viên,Cử nhân,2,hưng yên,2024-12-11,12000000.0,18000000.0,15000000.0,chuyên viên hỗ trợ kỹ thuật
495,CareerLink,Công ty TNHH Lisod Việt Nam,Nhân viên,Cử nhân,2,hà nội,2024-12-24,20000000.0,40000000.0,30000000.0,kỹ sư phần mềm
496,CareerLink,Công ty TNHH Lisod Việt Nam,Nhân viên,Cử nhân,1,hà nội,2024-12-03,10000000.0,16000000.0,13000000.0,nhân viên qc
497,CareerLink,Công Ty TNHH Tech-Link Silicones (VN),Nhân viên,Cử nhân,1,hồ chí minh,2024-12-03,10000000.0,12000000.0,11000000.0,nhân viên erp
500,việclàm24h,Trung Tâm Hạ Tầng Idc - Chi Nhánh Công Ty Công Nghệ Thông Tin Vnpt,Chuyên viên- nhân viên,Cử nhân,0,hà nội,2024-11-29,15000000.0,35000000.0,25000000.0,kỹ sư hệ thống
502,việclàm24h,Công Ty TNHH Leetray,Chuyên viên- nhân viên,Cử nhân,1,tp.hcm,2024-12-24,15000000.0,30000000.0,22500000.0,kỹ sư dữ liệu
504,việclàm24h,Công Ty TNHH Vacif,Quản lý cấp trung,Cử nhân,1,tp.hcm,2024-12-19,15000000.0,25000000.0,20000000.0,technical manager
505,việclàm24h,Công Ty Cổ Phần Giải Pháp Công Nghệ Thế Giới Số,Chuyên viên- nhân viên,Cử nhân,0,tp.hcm,2024-12-17,8000000.0,14000000.0,11000000.0,chuyên viên hỗ trợ kỹ thuật
507,việclàm24h,Công Ty Cổ Phần FFC,Chuyên viên- nhân viên,Không yêu cầu,0,hà nội,2024-12-25,12000000.0,18000000.0,15000000.0,chuyên viên hỗ trợ kỹ thuật
508,việclàm24h,Công Ty TNHH Kỹ Thuật Hiệp Nguyễn,Chuyên viên- nhân viên,Không yêu cầu,0,bình dương,2024-12-24,10000000.0,15000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
508,việclàm24h,Công Ty TNHH Kỹ Thuật Hiệp Nguyễn,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-24,10000000.0,15000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
509,việclàm24h,Công Ty Cổ Phần Med - Aid Công Minh,Chuyên viên- nhân viên,Không yêu cầu,2,hà nội,2024-12-24,10000000.0,15000000.0,12500000.0,kỹ sư phần mềm
510,việclàm24h,Công Ty Cổ Phần Viễn Thông Act,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-24,8000000.0,17000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
512,việclàm24h,Công Ty TNHH Bmo Int,Chuyên viên- nhân viên,Không yêu cầu,2,tp.hcm,2024-12-22,15000000.0,25000000.0,20000000.0,kỹ sư phần mềm
513,việclàm24h,Công Ty Cổ Phần Cơ Điện Hợp Nhất,Chuyên viên- nhân viên,Cử nhân,0,tp.hcm,2024-12-20,9000000.0,12000000.0,10500000.0,kỹ sư phần mềm
518,việclàm24h,Pathway School (Công Ty CP Giáo Dục Liên Minh Bách Khoa),Chuyên viên- nhân viên,Cử nhân,1,tp.hcm,2024-12-19,10000000.0,12000000.0,11000000.0,giảng viên
520,việclàm24h,Công Ty TNHH Develop.Software,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-03,8000000.0,15000000.0,11500000.0,kỹ sư phần mềm
521,việclàm24h,Công Ty TNHH Hải Triều Việt Nam (Đồng Hồ Hải Triều),Chuyên viên- nhân viên,Cử nhân,2,tp.hcm,2024-12-11,10000000.0,15000000.0,12500000.0,công nghệ thông tin
522,việclàm24h,Công Ty TNHH Thương Mại Và Tư Vấn Phát Triển Công Nghệ Dna,Chuyên viên- nhân viên,Cử nhân,0,hà nội,2024-12-11,15000000.0,18000000.0,16500000.0,chuyên viên hỗ trợ kỹ thuật
523,việclàm24h,Công Ty TNHH Akc Vina,Chuyên viên- nhân viên,Cử nhân,0,bắc ninh,2024-12-10,16000000.0,26000000.0,21000000.0,kỹ sư phần mềm
524,việclàm24h,Liên Hiệp Hợp Tác Xã TM TP Hồ Chí Minh (Sài Gòn Co-op),Chuyên viên- nhân viên,Không yêu cầu,0,bình thuận,2024-12-25,7000000.0,9000000.0,8000000.0,công nghệ thông tin
526,việclàm24h,Digiworld Corporation,Chuyên viên- nhân viên,Trung cấp,0,phú thọ,2024-12-03,9000000.0,10000000.0,9500000.0,chuyên viên hỗ trợ kỹ thuật
528,việclàm24h,Công Ty TNHH Ezyremit Worldwide,Chuyên viên- nhân viên,Cử nhân,0,tp.hcm,2024-12-25,10000000.0,12000000.0,11000000.0,vận hành
532,việclàm24h,Công Ty TNHH Polytex Far Eastern (Việt Nam),Chuyên viên- nhân viên,Cử nhân,2,tp.hcm,2024-12-19,13000000.0,18000000.0,15500000.0,kỹ sư phần mềm
535,việclàm24h,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Thành Phố Mới,Chuyên viên- nhân viên,Không yêu cầu,0,bình dương,2024-12-10,10000000.0,15000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
537,việclàm24h,Công Ty Cổ Phần Đầu Tư Pitc,Chuyên viên- nhân viên,Không yêu cầu,0,đà nẵng,2024-11-29,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
537,việclàm24h,Công Ty Cổ Phần Đầu Tư Pitc,Chuyên viên- nhân viên,Không yêu cầu,0,thừa thiên huế,2024-11-29,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
537,việclàm24h,Công Ty Cổ Phần Đầu Tư Pitc,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-11-29,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
538,việclàm24h,Công Ty TNHH Bảo Dưỡng Công Nghệ Toàn Cầu VN,Chuyên viên- nhân viên,Cử nhân,0,tp.hcm,2024-12-05,15000000.0,18000000.0,16500000.0,công nghệ thông tin
539,việclàm24h,Công Ty TNHH Danu Vina,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-11,7000000.0,12000000.0,9500000.0,chuyên viên hỗ trợ kỹ thuật
540,việclàm24h,Trung Tâm Hạ Tầng Idc - Chi Nhánh Công Ty Công Nghệ Thông Tin Vnpt,Chuyên viên- nhân viên,Cử nhân,0,tp.hcm,2024-11-29,15000000.0,35000000.0,25000000.0,kỹ sư hệ thống
541,việclàm24h,Công Ty Cổ Phần Viễn Thông Fpt,Chuyên viên- nhân viên,Không yêu cầu,0,an giang,2024-12-05,8000000.0,15000000.0,11500000.0,kỹ thuật viên
541,việclàm24h,Công Ty Cổ Phần Viễn Thông Fpt,Chuyên viên- nhân viên,Không yêu cầu,0,kiên giang,2024-12-05,8000000.0,15000000.0,11500000.0,kỹ thuật viên
541,việclàm24h,Công Ty Cổ Phần Viễn Thông Fpt,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-05,8000000.0,15000000.0,11500000.0,kỹ thuật viên
542,việclàm24h,Công Ty TNHH Thương Mại Dược Phẩm Minh Tín,Chuyên viên- nhân viên,chứng chỉ,2,tp.hcm,2024-12-03,9000000.0,15000000.0,12000000.0,chuyên viên hỗ trợ kỹ thuật
543,việclàm24h,Công ty TNHH Trường Quốc Tế Dạy Bằng Tiếng Anh,Chuyên viên- nhân viên,Không yêu cầu,1,tp.hcm,2024-12-10,10000000.0,15000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
544,việclàm24h,Công Ty TNHH Công Nghệ Akas,Chuyên viên- nhân viên,Trung cấp,1,tp.hcm,2024-12-14,8000000.0,10000000.0,9000000.0,chuyên viên hỗ trợ kỹ thuật
545,việclàm24h,Công Ty Tnhh Một Thành Viên Kỹ Thuật Kinh Doanh Tư Duy Việt,Chuyên viên- nhân viên,Cử nhân,1,tp.hcm,2024-12-06,15000000.0,25000000.0,20000000.0,chuyên viên hỗ trợ kỹ thuật
546,việclàm24h,Công Ty TNHH SX & TM Tân Quang Minh,Chuyên viên- nhân viên,Không yêu cầu,2,tp.hcm,2024-12-09,12000000.0,15000000.0,13500000.0,chuyên viên hỗ trợ kỹ thuật
550,việclàm24h,Chi Nhánh Công Ty Cổ Phần Thương Mại Dịch Vụ Xuất Nhập Khẩu Hpt Việt Nam Tại Hà Nội,Chuyên viên- nhân viên,Không yêu cầu,1,tp.hcm,2024-12-23,15000000.0,25000000.0,20000000.0,quản lý dự án
552,việclàm24h,Công Ty Cổ Phần Công Nghệ Oryza Systems,Chuyên viên- nhân viên,Không yêu cầu,0,bình dương,2024-12-04,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
555,việclàm24h,Công Ty Cổ Phần Công Nghệ Qi,Chuyên viên- nhân viên,Trung cấp,1,tp.hcm,2024-12-26,9000000.0,12000000.0,10500000.0,chuyên viên hỗ trợ kỹ thuật
557,việclàm24h,Công Ty Cptm Sáng Tạo Công Nghệ Điện Tử Trung Bắc,Chuyên viên- nhân viên,Cử nhân,0,hà nội,2024-12-26,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
558,việclàm24h,Công Ty Cổ Phần Viễn Thông FPT,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-26,8000000.0,13000000.0,10500000.0,chuyên viên hỗ trợ kỹ thuật
559,việclàm24h,Công Ty TNHH Kinh Doanh Siêu Việt,Chuyên viên- nhân viên,Cử nhân,0,đồng nai,2024-12-26,7000000.0,15000000.0,11000000.0,chuyên viên hỗ trợ kỹ thuật
560,việclàm24h,Công Ty TNHH Cocreation Grass Corporation Việt Nam,Chuyên viên- nhân viên,Cử nhân,0,tây ninh,2024-12-26,9000000.0,12000000.0,10500000.0,công nghệ thông tin
561,việclàm24h,Công Ty Cổ Phần Cơ Điện Hợp Nhất,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-25,9000000.0,12000000.0,10500000.0,kỹ sư phần mềm
562,việclàm24h,Công Ty TNHH Cocreation Grass Corporation Việt Nam,Chuyên viên- nhân viên,Cử nhân,0,tây ninh,2024-12-25,9000000.0,12000000.0,10500000.0,công nghệ thông tin
567,việclàm24h,Công Ty TNHH Kỹ Thuật Công Nghệ Blue Dream,Chuyên viên- nhân viên,Không yêu cầu,1,tp.hcm,2024-12-24,15000000.0,40000000.0,27500000.0,kỹ sư phần mềm
568,việclàm24h,Công ty TNHH Mai Song Nguyễn,Chuyên viên- nhân viên,Không yêu cầu,0,tp.hcm,2024-12-24,7000000.0,18000000.0,12500000.0,chuyên viên hỗ trợ kỹ thuật
569,việclàm24h,Công Ty TNHH MTV Hiền Phát Lợi,Chuyên viên- nhân viên,Không yêu cầu,0,bình dương,2024-12-24,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
570,việclàm24h,Công Ty Cổ Phần Phát Triển Phần Mềm Giải Pháp Phân Phối Dược Và Nhà Thuốc,Chuyên viên- nhân viên,Không yêu cầu,0,hà nội,2024-12-24,10000000.0,20000000.0,15000000.0,kỹ sư phần mềm
571,việclàm24h,Công Ty TNHH MTV Xuất Nhập Khẩu 2-9 Đắk Lắk,Chuyên viên- nhân viên,Cử nhân,2,đắk lắk,2024-12-24,10000000.0,15000000.0,12500000.0,công nghệ thông tin
573,việclàm24h,Công Ty TNHH TM Và DV Tin Học Anh Phương,Chuyên viên- nhân viên,Trung cấp,0,tp.hcm,2024-12-24,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
574,việclàm24h,Công Ty TNHH Phát Triển Công Nghệ Minh Hà,Chuyên viên- nhân viên,Trung học,0,tp.hcm,2024-12-24,7000000.0,12000000.0,9500000.0,chuyên viên hỗ trợ kỹ thuật
575,việclàm24h,Công Ty TNHH Ezyremit Worldwide,Chuyên viên- nhân viên,Cử nhân,0,tp.hcm,2024-12-23,10000000.0,12000000.0,11000000.0,vận hành
577,việclàm24h,Công Ty Cổ Phần Dayone Asia,Chuyên viên- nhân viên,Không yêu cầu,2,tp.hcm,2024-12-23,15000000.0,20000000.0,17500000.0,nhà phân tích dữ liệu
580,việclàm24h,Công Ty TNHH Phát Triển Công Nghệ Minh Hà,Chuyên viên- nhân viên,Trung học,0,tp.hcm,2024-12-23,7000000.0,12000000.0,9500000.0,công nghệ thông tin
581,việclàm24h,Công Ty TNHH Cocreation Grass Corporation Việt Nam,Chuyên viên- nhân viên,Không yêu cầu,0,tây ninh,2024-12-23,9000000.0,12000000.0,10500000.0,công nghệ thông tin
582,việclàm24h,Công Ty TNHH Bmo Int,Chuyên viên- nhân viên,Không yêu cầu,2,tp.hcm,2024-12-23,15000000.0,25000000.0,20000000.0,kỹ sư phần mềm
583,việclàm24h,Công Ty TNHH Bmo Int,Chuyên viên- nhân viên,Không yêu cầu,2,tp.hcm,2024-12-23,15000000.0,25000000.0,20000000.0,kỹ sư phần mềm
584,việclàm24h,Công Ty TNHH Thương Mại Và Vận Tải Phương Anh,Chuyên viên- nhân viên,Không yêu cầu,1,hà nội,2024-12-23,11000000.0,15000000.0,13000000.0,công nghệ thông tin
585,việclàm24h,Công Ty TNHH Tin Học Và Thương Mại Hùng Phát,Chuyên viên- nhân viên,chứng chỉ,0,hà nam,2024-12-21,7000000.0,10000000.0,8500000.0,công nghệ thông tin
586,việclàm24h,Chi Nhánh 5 - Công Ty TNHH Truyền Hình Cáp Saigontourist,Chuyên viên- nhân viên,Trung cấp,0,tp.hcm,2024-12-21,7000000.0,10000000.0,8500000.0,kỹ thuật viên
